GID,site_2,site_3,site_4,site_5,site_17,site_1,site_8,site_9,site_11,site_12,site_13,site_14,site_15,site_16,site_22,site_29,site_32,site_34,site_40,site_44,site_47,site_49,site_55,site_56,site_67,site_68,Influence
341,0.0,0.0,0.0,0.0,0.6882,0.0,0.0,0.0,0.4349,0.0,0.2977,0.2856,0.4811,0.6059,7.2681,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0318,8
574,0.0,0.0,0.0,0.0,0.0529,0.0,0.0,0.0,0.4093,0.0207,0.1786,0.084,5.7346,0.2907,0.1555,0.0,0.0,0.0,0.0,0.0,0.0338,0.0,0.0,0.0,0.0,0.0,8
281,0.1897,0.3806,0.3614,0.2025,0.0,0.7971,0.0,0.3037,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.1919,0.0198,0.0,0.0,0.0,0.004,0.0,0.0,0.0,27.1986,0.0053,8
254,0.3225,0.2455,0.2733,0.3276,0.0,0.4524,0.0,0.39,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0942,0.127,3.5622,7
615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,0.0,0.0048,0.0024,0.0,0.0192,0.0,0.0,0.0,0.0,0.0457,0.75,0.0,3.2863,0.0,0.0,7
591,3.0734,3.7073,2.6379,4.3015,0.0,3.059,0.0,5.3948,0.0,0.3769,0.0,0.0,0.0,0.0,0.0,0.0384,0.0,0.0,0.0,0.0,0.0855,0.0,0.0,0.0,0.0049,0.0053,7
670,0.0,0.0246,0.0,0.0018,0.1588,0.0,0.0,0.0,0.1279,0.0,0.1786,0.0504,0.1107,0.1588,3.8852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
429,0.0379,0.2823,0.0419,0.0663,0.0,0.0215,0.0,0.0417,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,6.3414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.0053,6
336,0.0,0.0,0.0,0.0,0.1059,0.0,0.0,0.0,0.0512,0.0,4.5256,0.0336,0.0481,0.0464,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
40,0.8537,4.1616,3.5899,1.2755,0.0,6.0319,0.0,1.2951,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0,0.0,0.0,0.0,0.0034,0.4446,0.0,6
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.0,0.0,0.0,0.0,0.0,0.0192,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,2.0666,2.927,5
251,0.0949,0.2578,0.249,0.3037,0.0,4.7609,0.0,0.262,0.0,0.0775,0.0,0.0,0.0,0.0,0.0,0.0192,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,5
