2170526.0 k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,10.79579,25.67567,30.59926,30.66394,25.34567,24.93419,19.59221,29.16957,24.7229,29.10375,9.08988,10.20422,19.21199,20.46626,14.59195,21.525,34.13561,15.08848,21.11939,25.63985,17.87384,21.31076
628226.0 k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,0.04651,0.09027,0.04936,0.13891,0.04536,0.00225,0,0.02788,0.01868,0,0.0123,0.02431,0.06571,0,0,0,0.02302,0,0.02269,0.03395,0.02329,0.07695
770920.0 k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,11.0107,24.1834,30.54192,27.80283,24.08763,22.64467,20.10728,32.20402,24.69644,18.56566,10.04991,11.08369,15.9407,16.08642,13.30649,13.72981,17.77944,10.72814,19.34287,17.43832,16.7212,18.85729
f__unspecific_Clostridiales,,,,,2.67663,8.58531,12.26212,13.00455,9.55053,4.90815,4.1797,11.86703,9.17549,4.77587,5.08548,5.97434,4.19307,4.07775,3.71299,3.92815,6.31389,4.05517,6.79233,6.9937,7.19789,7.4919
4452756.0 k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,0.56825,1.98819,1.26441,1.01889,1.94449,2.78771,0.56313,1.58671,1.78456,2.05889,1.27574,1.22784,0.6947,0.50874,0.7693,1.35559,2.67248,1.6154,3.18359,2.80257,3.0047,2.76925
4339145.0 k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,0.37577,0.38958,0.26374,0.42311,0.28758,0.27331,0.58586,0.32442,0.42765,0.44582,5.29638,4.2268,0.3239,0.60354,0.54516,0.47584,0.8391,0.54632,0.40759,0.79288,0.62037,0.51622
331480.0 k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,3.97878,0.10365,0.22763,0.04756,0.09087,0.13296,0.23874,0.13422,0.13008,0.1732,0.07744,0.0953,0.2319,0.23413,0.08997,0.05659,0.26646,0.05964,0.06117,0.22525,0.17287,0.22487
f__unspecific_Ellin329,,,,,0.07221,0,0,0,0,0.006,0.04373,0,0.00237,0,0,0,0,0,0,0,0,0,0.00895,0,0,0
2445338.0 k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,0.01636,0.24164,0.05325,0.11104,0.25487,0.01148,0.03468,0.08169,0.19324,1.81602,0.35092,0.23314,0,0.02493,0.00974,0.46647,0.27205,0.41476,0.09341,0.14807,0.44877,0.16303
3932231.0 k__Bacteria,p__Firmicutes,c__Erysipelotrichi,o__Erysipelotrichales,f__Erysipelotrichaceae,4.04172,5.90228,2.67733,2.70274,5.14762,2.62999,1.41892,2.33397,5.48658,4.40272,11.0873,8.21196,1.31315,1.05344,1.54689,1.97813,1.85,1.15712,2.93286,2.74906,1.9917,2.41931
f__unspecific_Flavobacteriales,,,,,0.01833,0,0,0,0,0,0.06974,0,0,0,0.02024,0.05005,0,0,0.21201,0.11549,0.10785,0.29195,0.09447,0.0856,0.31233,0.07723
298592.0 k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,0.01833,0.00742,0,0,0,0,0,0.00649,0.02251,0,0,0,0,0,0.01211,0.12935,0.65234,0.08094,0.16466,0.21174,0.02995,0
