Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_1,site_8,site_9,site_11,site_12,site_13,site_14,site_15,site_16,site_22,site_29,site_32,site_34,site_40,site_44,site_47,site_49,site_55,site_56,site_67,site_68
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,712,0.0,0.0,0.0,0.15349194167306215,0.002581844469689146,0.01984914648670107,0.0,0.0,0.014657741730590706,0.010197318105338296,0.0,0.0,0.0,0.0,0.0,0.003977566524800128,0.0,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter,713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052929656486529406
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029632556301856974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Tessaracoccus,715,0.0,0.0,0.0,0.0,0.033563978105958896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011932699574400381,26.17,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Tetrasphaera,716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024429569550984513,0.002549329526334574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010585931297305881
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Thauera,717,0.0,0.0,0.0,0.0,0.010327377878756584,0.0,0.016798252981689906,0.00962186086789185,0.01710069868568916,0.048437261000356904,0.019190174630589137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004203517503446884,0.3761969904240766,0.0
Bacteria,Firmicutes,Bacilli,Bacillales,Family_X,Thermicanus,718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011769849009651277,0.0,0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Thermincola,719,0.0,28.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoactinomyces,720,0.0,0.0,0.0,0.0,0.002581844469689146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum,721,0.4523912106850495,0.0,0.4108610217934977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2370604504148558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Thermobifida,722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio,723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.801055305843268,0.0052929656486529406
Bacteria,Thermi,Deinococci,Thermales,Thermaceae,Thermus,725,0.4523912106850495,0.0,0.39895200666904845,0.0,0.007745533409067438,0.0,0.0,0.0,0.0,0.0,0.019190174630589137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
