Family,Genus
Enterobacteriaceae,Enterobacter
Coriobacteriaceae,Enterococcus
Lachnospiraceae,Epulopiscium
Enterobacteriaceae,Erwinia
Erysipelotrichaceae,Erysipelothrix
Ruminococcaceae,Ethanoligenens
Aerococcaceae,Facklamia
Ruminococcaceae,Faecalibacterium
Flavobacteriaceae,Flavobacterium
Helicobacteraceae,Flexispira
Fusobacteriaceae,Fusobacterium
Bogoriellaceae,Georgenia
Holophagaceae,Geothrix
Gordoniaceae,Gordonia
Aerococcaceae,Granulicatella
Pasteurellaceae,Haemophilus
Erysipelotrichaceae,Holdemania
Comamonadaceae,Hydrogenophaga
Rhodocyclaceae,Hydrogenophilus
Cytophagaceae,Hymenobacter
Oxalobacteraceae,Janthinobacterium
Jonesiaceae,Jonesia
Rhodocyclaceae,K82
Sphingomonadaceae,Kaistobacter
Enterobacteriaceae,Klebsiella
Intrasporangiaceae,Knoellia
Micrococcaceae,Kocuria
Thermotogaceae,Kosmotoga
Lachnospiraceae,Lachnobacterium
Lachnospiraceae,Lachnospira
Lactobacillaceae,Lactobacillus
Streptococcaceae,Lactococcus
Legionellaceae,Legionella
Leptotrichiaceae,Leptotrichia
Leuconostocaceae,Leuconostoc
Verrucomicrobiaceae,Luteolibacter
Veillonellaceae,Megamonas
Veillonellaceae,Megasphaera
Methanobacteriaceae,Methanobacterium
Methanobacteriaceae,Methanobrevibacter
Methanobacteriaceae,Methanosphaera
Methylobacteriaceae,Methylobacterium
Methylophilaceae,Methylotenera
Rhodocyclaceae,Methyloversatilis
Microbacteriaceae,Microbacterium
Micrococcaceae,Micrococcus
Propionibacteriaceae,Microlunatus
Veillonellaceae,Mitsuokella
Actinomycetaceae,Mobiluncus
Mycobacteriaceae,Mycobacterium
Actinomycetaceae,N09
Neisseriaceae,Neisseria
Sphingomonadaceae,Novosphingobium
Lachnospiraceae,Oribacterium
Ruminococcaceae,Oscillospira
Oxalobacteraceae,Oxalobacter
Clostridiaceae,Oxobacter
Paenibacillaceae,Paenibacillus
Porphyromonadaceae,Paludibacter
Porphyromonadaceae,Parabacteroides
Rhodobacteraceae,Paracoccus
Lactobacillaceae,Pediococcus
Peptococcaceae,Peptococcus
Peptostreptococcaceae,Peptostreptococcus
Rhodospirillaceae,Phaeospirillum
Veillonellaceae,Phascolarctobacterium
Methylocystaceae,Pleomorphomonas
Porphyromonadaceae,Porphyromonas
Prevotellaceae,Prevotella
Propionibacteriaceae,Propionibacterium
Nocardioidaceae,Propionicimonas
Rhodocyclaceae,Propionivibrio
Verrucomicrobiaceae,Prosthecobacter
Enterobacteriaceae,Providencia
Erysipelotrichaceae,PSB-M-3
Lachnospiraceae,Pseudobutyrivibrio
Bradyrhizobiaceae,Pseudomonas
Eubacteriaceae,Pseudoramibacter_Eubacterium
Moraxellaceae,Psychrobacter
Oxalobacteraceae,Ralstonia
Peptococcaceae,rc4-4
Erysipelotrichaceae,RFN20
Nocardiaceae,Rhodococcus
Rhodocyclaceae,Rhodocyclus
Hyphomicrobiaceae,Rhodoplanes
Lachnospiraceae,Roseburia
Acetobacteraceae,Roseococcus
Micrococcaceae,Rothia
Lachnospiraceae,Ruminococcus
Microbacteriaceae,Salinibacterium
Enterobacteriaceae,Salmonella
Veillonellaceae,Selenomonas
Enterobacteriaceae,Serratia
Erysipelotrichaceae,Sharpea
Shewanellaceae,Shewanella
Coriobacteriaceae,Slackia
Clostridiaceae,SMB53
Sphingomonadaceae,Sphingobium
Sphingomonadaceae,Sphingomonas
Sphingomonadaceae,Sphingopyxis
Cytophagaceae,Spirosoma
Planococcaceae,Staphylococcus
Streptococcaceae,Streptococcus
Streptomycetaceae,Streptomyces
Veillonellaceae,Succiniclasticum
Succinivibrionaceae,Succinivibrio
Alcaligenaceae,Sutterella
Syntrophomonadaceae,Syntrophomonas
Comamonadaceae,Tepidimonas
Acidobacteriaceae,Terriglobus
Propionibacteriaceae,Tessaracoccus
Rhodocyclaceae,Thauera
Clostridiaceae,Tindallia_Anoxynatronum
Enterobacteriaceae,Trabulsiella
Spirochaetaceae,Treponema
Turicibacteraceae,Turicibacter
Acetobacteraceae,unspecific_Acetobacteraceae
Acholeplasmataceae,unspecific_Acholeplasmataceae
unspecific_Acidimicrobiales,unspecific_Acidimicrobiales
unspecific_Acidobacteria,unspecific_Acidobacteria
Actinomycetaceae,unspecific_Actinomycetaceae
unspecific_Actinomycetales,unspecific_Actinomycetales
Actinosynnemataceae,unspecific_Actinosynnemataceae
Aerococcaceae,unspecific_Aerococcaceae
Aerococcaceae,unspecific_Aeromonadaceae
Alcaligenaceae,unspecific_Alcaligenaceae
unspecific_Alphaproteobacteria,unspecific_Alphaproteobacteria
Anaerolinaceae,unspecific_Anaerolinaceae
Anaeroplasmataceae,unspecific_Anaeroplasmataceae
Aquificaceae,unspecific_Aquificaceae
unspecific_Bacillales,unspecific_Bacillales
unspecific_Bacilli,unspecific_Bacilli
unspecific_Bacteria,unspecific_Bacteria
Bacteroidaceae,unspecific_Bacteroidaceae
unspecific_Bacteroidales,unspecific_Bacteroidales
unspecific_Bacteroidetes,unspecific_Bacteroidetes
unspecific_BD7-3,unspecific_BD7-3
unspecific_Betaproteobacteria,unspecific_Betaproteobacteria
Bifidobacteriaceae,unspecific_Bifidobacteriaceae
Bradyrhizobiaceae,unspecific_Bradyrhizobiaceae
Burkholderiaceae,unspecific_Burkholderiaceae
